time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2023-08-18,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-21,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-22,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-23,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-24,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-25,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-28,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-29,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-30,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-08-31,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-05,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-06,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-07,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-08,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-11,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-12,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-13,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-14,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-15,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-18,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-19,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-20,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-21,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-22,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-25,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-26,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-27,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-28,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-09-29,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-02,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-03,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-04,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-05,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-06,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-09,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-10,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-11,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-12,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-13,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-16,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-17,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-18,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-19,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-20,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-23,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-24,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-25,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-26,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-27,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-30,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-10-31,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-01,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-02,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-03,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-06,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-07,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-08,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-09,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-10,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-13,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-14,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-15,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-16,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-17,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-20,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-21,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-22,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-23,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-24,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-27,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-28,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-29,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-11-30,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-01,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-04,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-05,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-06,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-07,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-08,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-11,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-12,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-13,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-14,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-15,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-18,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-19,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-20,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-21,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-22,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-25,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-26,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-27,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-28,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2023-12-29,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-02,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-03,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-04,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-05,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-08,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-09,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-10,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-11,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-12,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-15,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-16,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-17,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-18,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-19,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-22,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-23,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-24,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-25,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-26,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-29,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-01-30,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-02-19,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-02-20,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-02-21,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-02-22,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-02-23,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-02-26,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-02-27,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-02-28,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-02-29,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-01,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-04,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-05,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-06,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-07,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-08,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-11,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-12,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-13,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-14,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-15,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-18,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-19,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-20,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-21,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-22,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-25,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-26,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-27,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-28,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-03-29,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-01,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-02,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-03,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-04,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-05,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-08,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-09,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-10,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-11,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-12,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-15,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-16,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-17,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-19,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-22,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-23,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-24,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-25,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-04-26,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-02,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-03,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-06,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-07,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-08,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-09,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-10,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-13,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-14,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-15,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-16,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-17,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-20,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-21,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-22,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-23,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-24,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-27,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-28,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-29,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-30,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-05-31,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-03,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-04,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-05,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-06,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-07,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-10,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-11,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-12,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-13,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-14,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-17,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-18,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-19,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-20,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-21,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-24,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-25,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-26,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-27,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-06-28,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-07-01,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2024-07-02,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-03,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-04,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-05,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-08,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-09,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-10,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-11,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-12,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-15,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-16,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-17,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-18,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-19,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-22,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-23,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-24,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-25,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-26,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-29,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-30,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-07-31,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-01,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-02,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-05,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-06,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-07,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-08,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-09,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-12,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-13,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-14,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-15,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-16,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-19,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-20,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-21,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-22,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-23,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-26,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-27,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-28,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-29,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-08-30,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-04,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-05,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-06,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-09,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-10,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-11,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-12,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-13,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-16,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-17,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-18,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-19,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-20,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-23,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-24,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-25,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-26,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-27,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-09-30,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-10-01,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-10-02,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
2024-10-03,2.9,2.9,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,,9.71,0.0,0.0
