time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2019-12-04,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-05,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-06,0.2,0.3,0.2,0.3,11713,3513.9,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-09,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-10,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-11,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-12,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-13,0.3,0.3,0.3,0.3,1500,450.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-16,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-17,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-18,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-19,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-20,0.3,0.3,0.3,0.3,10,3.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-23,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-24,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-25,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-26,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-27,0.3,0.3,0.2,0.2,10147,2029.4,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-30,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2019-12-31,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-02,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-03,0.2,0.3,0.2,0.2,121900,24380.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-06,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-07,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-08,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-09,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-10,0.4,0.4,0.3,0.3,282,84.6,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-13,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-14,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-15,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-16,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-17,0.3,0.3,0.3,0.3,10050,3015.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-20,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-21,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-22,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-30,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-01-31,0.2,0.3,0.2,0.3,200,60.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-03,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-04,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-05,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-06,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-07,0.2,0.3,0.2,0.2,5200,1040.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-10,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-11,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-12,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-13,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-14,0.3,0.3,0.2,0.3,20800,6240.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-17,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-18,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-19,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-20,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-21,0.2,0.3,0.2,0.3,12602,3780.6,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-24,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-25,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-26,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-27,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-02-28,0.3,0.3,0.3,0.3,100,30.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-02,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-03,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-04,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-05,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-06,0.2,0.3,0.2,0.3,530,159.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-09,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-10,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-11,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-12,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-13,0.3,0.3,0.2,0.2,119500,23900.0,0.0,500.0,0.0,0.0,,0.12,0.0,0.0
2020-03-16,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-17,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-18,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-19,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-20,0.3,0.3,0.3,0.3,300,90.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-23,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-24,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-25,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-26,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-27,0.3,0.3,0.2,0.2,7450,1490.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-30,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-03-31,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-01,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-03,0.2,0.2,0.2,0.2,55000,11000.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-06,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-07,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-08,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-09,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-10,0.3,0.3,0.2,0.3,16300,4890.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-13,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-14,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-15,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-16,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-17,0.3,0.3,0.2,0.2,28760,5752.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-20,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-21,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-22,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-23,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-24,0.3,0.3,0.2,0.3,66800,20040.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-27,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-28,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-04-29,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-04,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-05,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-06,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-07,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-08,0.2,0.3,0.2,0.2,68400,13680.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-11,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-12,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-13,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-14,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-15,0.2,0.3,0.2,0.3,106000,31800.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-18,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-19,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-20,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-21,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-22,0.3,0.3,0.2,0.3,6660,1998.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-25,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-26,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-27,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-28,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-05-29,0.2,0.2,0.2,0.2,41710,8342.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-01,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-02,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-03,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-04,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-05,0.2,0.3,0.2,0.3,5390,1617.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-08,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-09,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-10,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-11,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-12,0.3,0.4,0.3,0.4,96130,38452.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-15,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-16,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-17,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-18,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-19,0.3,0.4,0.2,0.3,71900,21570.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-22,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-23,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-24,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-25,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-26,0.2,0.3,0.2,0.2,8310,1662.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-29,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-06-30,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-01,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-02,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-03,0.2,0.3,0.2,0.2,202435,40487.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-06,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-07,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-08,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-09,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-10,0.3,0.3,0.2,0.2,421700,84340.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-13,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-14,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-15,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-16,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-17,0.2,0.4,0.2,0.3,115310,34593.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-20,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-21,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-22,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-23,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-24,0.2,0.3,0.2,0.3,1070,321.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-27,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-28,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-29,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-30,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-07-31,0.3,0.3,0.2,0.2,22400,4480.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-03,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-04,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-05,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-06,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-07,0.3,0.4,0.2,0.4,202310,80924.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-10,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-11,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-12,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-13,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-14,0.2,0.4,0.2,0.3,43555,13066.5,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-17,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-18,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-19,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-20,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-21,0.2,0.3,0.2,0.3,132100,39630.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-24,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-25,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-26,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-27,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-28,0.2,0.3,0.2,0.3,113201,33960.3,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-08-31,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-01,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-03,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-04,0.2,0.3,0.2,0.3,60224,18067.2,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-07,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-08,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-09,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-10,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-11,0.3,0.3,0.2,0.3,246340,73902.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-14,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-15,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-16,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-17,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-18,0.3,0.4,0.2,0.3,92950,27885.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-21,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-22,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-23,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-24,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-25,0.2,0.3,0.2,0.3,4500,1350.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-28,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-29,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-09-30,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-01,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-02,0.3,0.4,0.3,0.3,98300,29490.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-05,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-06,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-07,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-08,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-09,0.3,0.4,0.2,0.3,27853,8355.9,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-12,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-13,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-14,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-15,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-16,0.3,0.3,0.3,0.3,7200,2160.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-19,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-20,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-21,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-22,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-23,0.3,0.4,0.3,0.3,21100,6330.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-26,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-27,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-28,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-29,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-10-30,0.3,0.3,0.3,0.3,38000,11400.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-02,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-03,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-04,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-05,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-06,0.2,0.3,0.2,0.3,39900,11970.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-09,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-10,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-11,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-12,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
2020-11-13,0.3,0.3,0.3,0.3,1000,300.0,0.0,0.0,0.0,0.0,,0.12,0.0,0.0
